Wavelength(nm),Intensities
679.0000024000001,439.8
680.0000024000001,428.6
681.0000024000001,425.4
682.0000024000001,413.2
683.0000024000001,430.0
684.0000024000001,413.2
685.0000024000001,422.8
686.0000024000001,412.4
687.0000024000001,419.8
688.0000024000001,420.4
689.0000024000001,423.6
690.0000024000001,421.4
691.0000024000001,408.2
692.0000024000001,411.4
693.0000024000001,409.2
694.0000024000001,431.2
695.0000024000001,442.8
696.0000024000001,415.6
697.0000024000001,408.4
698.0000024000001,405.4
699.0000024000001,410.2
700.0000024000001,407.8
701.0000024000001,400.0
702.0000024000001,398.2
703.0000024000001,401.2
704.0000024000001,395.2
705.0000024000001,404.8
706.0000024000001,391.2
707.0000024000001,404.8
708.0000024000001,391.4
709.0000024000001,397.0
710.0000024000001,402.6
711.0000024000001,394.2
712.0000024000001,415.0
713.0000024000001,399.8
714.0000024000001,395.8
715.0000024000001,392.0
716.0000024000001,398.2
717.0000024000001,404.8
718.0000024000001,398.8
719.0000024000001,402.0
720.0000024000001,381.6
721.0000024000001,390.6
722.0000024000001,377.8
723.0000024000001,392.8
724.0000024000001,388.4
725.0000024000001,384.4
726.0000024000001,388.8
727.0000024000001,381.2
728.0000024000001,387.6
729.0000024000001,373.2
730.0000024000001,374.6
731.0000024000001,385.2
732.0000024000001,385.4
733.0000024000001,381.6
734.0000024000001,392.4
735.0000024000001,383.4
736.0000024000001,394.8
737.0000024000001,392.2
738.0000024000001,380.8
739.0000024000001,384.0
740.0000024000001,384.0
741.0000024000001,384.8
742.0000024000001,394.4
743.0000024000001,393.8
744.0000024000001,384.0
745.0000024000001,391.4
746.0000024000001,387.8
747.0000024000001,380.4
748.0000024000001,381.8
749.0000024000001,387.4
750.0000024000001,378.8
751.0000024000001,383.4
752.0000024000001,386.6
753.0000024000001,379.0
754.0000024000001,377.0
755.0000024000001,404.8
756.0000024000001,407.4
757.0000024000001,395.4
758.0000024000001,384.2
759.0000024000001,400.0
760.0000024000001,387.6
761.0000024000001,387.2
762.0000024000001,385.2
763.0000024000001,404.4
764.0000024000001,392.4
765.0000024000001,385.8
766.0000024000001,397.2
767.0000024000001,395.2
768.0000024000001,382.2
769.0000024000001,409.0
770.0000024000001,404.6
771.0000024000001,392.0
772.0000024000001,399.8
773.0000024000001,389.8
774.0000024000001,402.0
775.0000024000001,390.2
776.0000024000001,393.4
777.0000024000001,387.0
778.0000024000001,385.6
779.0000024000001,390.0
780.0000024000001,372.8
781.0000024000001,380.2
782.0000024000001,401.4
783.0000024000001,393.8
784.0000024000001,382.4
785.0000024000001,383.6
786.0000024000001,384.8
787.0000024000001,377.6
788.0000024000001,380.6
789.0000024000001,382.4
790.0000024000001,391.4
791.0000024000001,371.4
792.0000024000001,372.8
793.0000024000001,364.4
794.0000024000001,370.8
795.0000024000001,369.6
796.0000024000001,370.8
797.0000024000001,380.0
798.0000024000001,380.6
799.0000024000001,369.6
800.0000024000001,383.0
801.0000024000001,376.6
802.0000024000001,375.0
803.0000024000001,370.0
804.0000024000001,370.4
805.0000024000001,376.2
806.0000024000001,367.4
807.0000024000001,378.6
808.0000024000001,359.6
809.0000024000001,388.2
810.0000024000001,378.6
811.0000024000001,365.6
812.0000024000001,367.6
813.0000024000001,375.0
814.0000024000001,363.6
815.0000024000001,361.2
816.0000024000001,369.8
817.0000024000001,361.0
818.0000024000001,365.2
819.0000024000001,376.8
820.0000024000001,368.4
821.0000024000001,369.8
822.0000024000001,367.0
823.0000024000001,361.8
824.0000024000001,356.6
825.0000024000001,360.0
826.0000024000001,357.2
827.0000024000001,354.4
828.0000024000001,380.4
829.0000024000001,358.4
830.0000024000001,369.4
831.0000024000001,362.8
832.0000024000001,367.0
833.0000024000001,378.6
834.0000024000001,375.4
835.0000024000001,369.0
836.0000024000001,369.4
837.0000024000001,375.0
838.0000024000001,372.8
839.0000024000001,369.0
840.0000024000001,372.0
841.0000024000001,367.0
842.0000024000001,368.0
843.0000024000001,364.8
844.0000024000001,366.6
845.0000024000001,362.2
846.0000024000001,363.6
847.0000024000001,366.6
848.0000024000001,367.2
849.0000024000001,378.2
850.0000024000001,365.0
851.0000024000001,381.2
852.0000024000001,364.4
853.0000024000001,366.2
854.0000024000001,358.0
855.0000024000001,375.2
856.0000024000001,375.0
857.0000024000001,369.2
858.0000024000001,369.2
859.0000024000001,368.2
860.0000024000001,372.2
861.0000024000001,375.8
862.0000024000001,374.0
863.0000024000001,367.0
864.0000024000001,365.4
865.0000024000001,374.0
866.0000024000001,380.8
867.0000024000001,376.6
868.0000024000001,380.6
869.0000024000001,370.4
